id,base,instr,delta
EX-0006,40.95821416208051,70.60374899223851,29.645534830158
EX-0056,49.948175834030174,68.12455364200612,18.176377807975946
EX-0040,56.989686997411816,68.25064500223314,11.260958004821326
EX-0002,35.725221457011145,45.94387792124753,10.218656464236382
EX-0022,58.643275241650834,68.25064500223314,9.607369760582309
EX-0019,58.643275241650834,68.12455364200612,9.481278400355286
EX-0024,37.18932461852837,42.63678100421447,5.4474563856861025
EX-0007,1.5210995644379717,6.7602298845717375,5.239130320133766
EX-0049,1.664356790958625,6.814385179012219,5.1500283880535935
EX-0058,65.42581046386209,68.25064500223314,2.82483453837105
